iter	Passed	Remaining
555	1080	862
556	1081	860
557	1083	858
558	1085	856
559	1087	854
560	1089	852
561	1091	850
562	1092	848
563	1094	846
564	1097	844
565	1099	842
566	1100	840
567	1102	838
568	1104	836
569	1106	834
570	1108	832
571	1110	830
572	1111	828
573	1113	826
574	1115	824
575	1117	822
576	1119	821
577	1121	818
578	1123	816
579	1125	814
580	1127	812
581	1129	810
582	1130	808
583	1132	806
584	1134	804
585	1136	802
586	1137	800
587	1139	798
588	1141	796
589	1143	794
590	1146	793
591	1148	791
592	1150	789
593	1152	787
594	1154	785
595	1155	783
596	1157	781
597	1159	779
598	1160	777
599	1162	775
600	1164	773
601	1166	771
602	1168	769
603	1170	767
604	1171	765
605	1173	762
606	1175	760
607	1177	758
608	1178	756
609	1180	754
610	1182	752
611	1184	750
612	1185	748
613	1187	746
614	1189	744
615	1191	742
616	1193	740
617	1194	738
618	1196	736
619	1197	734
620	1199	732
621	1201	729
622	1202	727
623	1204	725
624	1205	723
625	1207	721
626	1209	719
627	1210	717
628	1212	715
629	1214	713
630	1215	711
631	1217	709
632	1219	707
633	1221	705
634	1223	703
635	1224	701
636	1226	699
637	1228	696
638	1229	694
639	1231	692
640	1233	690
641	1235	688
642	1236	686
643	1238	684
644	1239	682
645	1241	680
646	1243	678
647	1244	676
648	1246	674
649	1248	672
650	1249	669
651	1251	667
652	1252	665
653	1254	663
654	1256	661
655	1258	659
656	1260	657
657	1261	655
658	1263	653
659	1264	651
660	1266	649
661	1268	647
662	1270	645
663	1271	643
664	1273	641
665	1275	639
666	1276	637
667	1278	635
668	1280	633
669	1282	631
670	1283	629
671	1285	627
672	1287	625
673	1289	623
674	1291	621
675	1292	619
676	1294	617
677	1296	615
678	1297	613
679	1299	611
680	1301	609
681	1303	607
682	1306	606
683	1308	604
684	1310	602
685	1311	600
686	1313	598
687	1315	596
688	1317	594
689	1319	592
690	1321	591
691	1323	589
692	1325	587
693	1326	585
694	1328	583
695	1330	581
696	1332	579
697	1333	577
698	1335	575
699	1337	573
700	1339	571
701	1341	569
702	1343	567
703	1345	565
704	1347	563
705	1349	561
706	1351	559
707	1352	557
708	1354	556
709	1356	554
710	1359	552
711	1360	550
712	1362	548
713	1364	546
714	1366	544
715	1368	542
716	1369	540
717	1371	538
718	1374	537
719	1375	535
720	1377	533
721	1379	531
722	1382	529
723	1383	527
724	1385	525
725	1387	523
726	1389	521
727	1391	519
728	1393	517
729	1394	515
730	1396	514
731	1398	512
732	1400	510
733	1402	508
734	1404	506
735	1406	504
736	1409	502
737	1410	500
738	1412	498
739	1414	497
740	1416	495
741	1418	493
742	1419	491
743	1421	489
744	1423	487
745	1425	485
746	1427	483
747	1429	481
748	1431	479
749	1433	477
750	1434	475
751	1436	473
752	1438	471
753	1440	469
754	1442	467
755	1444	466
756	1445	464
757	1447	462
758	1449	460
759	1451	458
760	1452	456
761	1454	454
762	1456	452
763	1458	450
764	1460	448
765	1462	446
766	1464	444
767	1466	442
768	1468	441
769	1469	439
770	1472	437
771	1473	435
772	1475	433
773	1477	431
774	1479	429
775	1481	427
776	1483	425
777	1485	423
778	1487	421
779	1488	419
780	1490	418
781	1492	416
782	1494	414
783	1496	412
784	1498	410
785	1500	408
786	1502	406
787	1504	404
788	1506	402
789	1507	400
790	1509	398
791	1511	396
792	1513	395
793	1515	393
794	1517	391
795	1519	389
796	1521	387
797	1523	385
798	1525	383
799	1527	381
800	1529	379
801	1531	378
802	1533	376
803	1535	374
804	1537	372
805	1539	370
806	1541	368
807	1543	366
808	1544	364
809	1546	362
810	1548	360
811	1550	358
812	1552	356
813	1553	355
814	1555	353
815	1557	351
816	1559	349
817	1560	347
818	1562	345
819	1564	343
820	1566	341
821	1568	339
822	1570	337
823	1572	335
824	1573	333
825	1575	331
826	1577	329
827	1579	328
828	1581	326
829	1583	324
830	1584	322
831	1586	320
832	1588	318
833	1590	316
834	1591	314
835	1593	312
836	1595	310
837	1597	308
838	1599	306
839	1601	305
840	1603	303
841	1605	301
842	1606	299
843	1608	297
844	1610	295
845	1613	293
846	1614	291
847	1616	289
848	1618	287
849	1620	285
850	1622	284
851	1623	282
852	1625	280
853	1627	278
854	1629	276
855	1630	274
856	1632	272
857	1634	270
858	1636	268
859	1638	266
860	1640	264
861	1642	262
862	1643	260
863	1645	259
864	1647	257
865	1649	255
866	1650	253
867	1652	251
868	1654	249
869	1656	247
870	1659	245
871	1661	243
872	1662	241
873	1664	239
874	1666	238
875	1668	236
876	1670	234
877	1672	232
878	1673	230
879	1675	228
880	1677	226
881	1679	224
882	1681	222
883	1683	220
884	1685	218
885	1686	217
886	1689	215
887	1690	213
888	1692	211
889	1694	209
890	1696	207
891	1698	205
892	1699	203
893	1701	201
894	1703	199
895	1705	197
896	1707	196
897	1709	194
898	1711	192
899	1713	190
900	1715	188
901	1717	186
902	1719	184
903	1721	182
904	1722	180
905	1724	178
906	1726	177
907	1728	175
908	1730	173
909	1732	171
910	1734	169
911	1735	167
912	1737	165
913	1739	163
914	1741	161
915	1742	159
916	1744	157
917	1746	156
918	1748	154
919	1750	152
920	1752	150
921	1754	148
922	1756	146
923	1758	144
924	1759	142
925	1761	140
926	1763	138
927	1765	136
928	1767	135
929	1769	133
930	1771	131
931	1772	129
932	1774	127
933	1776	125
934	1778	123
935	1780	121
936	1782	119
937	1784	117
938	1786	116
939	1787	114
940	1789	112
941	1791	110
942	1793	108
943	1795	106
944	1797	104
945	1798	102
946	1800	100
947	1802	98
948	1804	96
949	1806	95
950	1807	93
951	1809	91
952	1811	89
953	1814	87
954	1816	85
955	1818	83
956	1820	81
957	1822	79
958	1824	77
959	1826	76
960	1828	74
961	1829	72
962	1832	70
963	1833	68
964	1835	66
965	1837	64
966	1839	62
967	1841	60
968	1843	58
969	1845	57
970	1846	55
971	1849	53
972	1851	51
973	1853	49
974	1855	47
975	1856	45
976	1858	43
977	1860	41
978	1862	39
979	1864	38
980	1865	36
981	1867	34
982	1869	32
983	1871	30
984	1872	28
985	1874	26
986	1876	24
987	1878	22
988	1880	20
989	1882	19
990	1884	17
991	1885	15
992	1887	13
993	1889	11
994	1891	9
995	1893	7
996	1894	5
997	1896	3
998	1898	1
999	1900	0
