iter	Logloss
0	0.6754436056
1	0.6553643662
2	0.6339020475
3	0.613291743
4	0.5974804551
5	0.5827129332
6	0.5656644379
7	0.5501624886
8	0.5371083657
9	0.525201176
10	0.51249321
11	0.5012892481
12	0.4892067044
13	0.4783977747
14	0.4686972134
15	0.461221019
16	0.4522211479
17	0.4418184705
18	0.433961301
19	0.4274634452
20	0.421052434
21	0.4153157583
22	0.4091629397
23	0.4035907247
24	0.3981431818
25	0.3931734469
26	0.3870494526
27	0.3809109124
28	0.3778062115
29	0.3737436584
30	0.3687979642
31	0.3639675176
32	0.359489296
33	0.356909945
34	0.3531985632
35	0.3491631579
36	0.345532604
37	0.3417165453
38	0.3384071516
39	0.3351875548
40	0.3327095551
41	0.3292293755
42	0.3263884778
43	0.3239001463
44	0.3211110252
45	0.3183383101
46	0.3155979779
47	0.3130525373
48	0.3103982967
49	0.3086010947
50	0.3066168
51	0.3045053578
52	0.3026893609
53	0.3010723609
54	0.2992654061
55	0.2976029992
56	0.2961100123
57	0.2943575684
58	0.2923799707
59	0.2908885962
60	0.2895760057
61	0.2882400396
62	0.2867153237
63	0.2852624299
64	0.2833152236
65	0.2814941435
66	0.2802833559
67	0.2790605161
68	0.277602401
69	0.276155629
70	0.2751243286
71	0.2738033851
72	0.2721524489
73	0.2709966693
74	0.2698547822
75	0.268398803
76	0.2671242805
77	0.2657328577
78	0.2648712217
79	0.2640912997
80	0.2624072385
81	0.2615663599
82	0.2607945562
83	0.2600838412
84	0.2588867853
85	0.2576594767
86	0.2566262297
87	0.2558808302
88	0.254041592
89	0.2532628785
90	0.2521386507
91	0.2515321673
92	0.2506493407
93	0.2495466568
94	0.2486224336
95	0.2475549892
96	0.2469841462
97	0.2462653831
98	0.2455441976
99	0.2444066992
100	0.2433654612
101	0.2423027613
102	0.2417965184
103	0.2411161103
104	0.2403724173
105	0.2393759929
106	0.238878433
107	0.2380528098
108	0.2369596169
109	0.2363561534
110	0.2357462054
111	0.2347880509
112	0.2341699932
113	0.2329504491
114	0.2319908931
115	0.2313571335
116	0.2307376281
117	0.229857863
118	0.2292865959
119	0.2287198459
120	0.228315002
121	0.2278790504
122	0.2273563175
123	0.2266173346
124	0.2259009808
125	0.2250375616
126	0.2245802204
127	0.2238225305
128	0.2229452034
129	0.2223927195
130	0.2217346833
131	0.221032136
132	0.2200641424
133	0.219565874
134	0.2187139245
135	0.2182280388
136	0.2179335787
137	0.2176289233
138	0.2171712367
139	0.2166020416
140	0.216100511
141	0.2157015674
142	0.2152551017
143	0.2144309547
144	0.2137259059
145	0.2130565777
146	0.2123181802
147	0.2114732544
148	0.2111394931
149	0.2106545572
150	0.210407801
151	0.2097907883
152	0.2091706441
153	0.2087498231
154	0.2083332366
155	0.207392181
156	0.2065806222
157	0.2059926133
158	0.205417271
159	0.2050036959
160	0.2045615188
161	0.2040839516
162	0.2037867771
163	0.2034461181
164	0.202596244
165	0.2021647531
166	0.2017690731
167	0.2012207369
168	0.2003949089
169	0.200024562
170	0.1995182325
171	0.1987523516
172	0.1982385409
173	0.1978534601
174	0.197323459
175	0.1967070883
176	0.1963399691
177	0.1958064828
178	0.195055831
179	0.1946931662
180	0.1942892079
181	0.1937676808
182	0.193223647
183	0.1929334821
184	0.1924608817
185	0.1920679314
186	0.1917663309
187	0.1910043339
188	0.1905379231
189	0.1901525934
190	0.189598859
191	0.1889509792
192	0.1886872569
193	0.1884699234
194	0.1880930654
195	0.1877004092
196	0.1871332307
197	0.1868474994
198	0.186525667
199	0.1860203247
200	0.1855186832
201	0.1850398304
202	0.1847554722
203	0.1842120408
204	0.1838329903
205	0.1832201508
206	0.1827621184
207	0.1824452232
208	0.1821796415
209	0.1818574874
210	0.1813026353
211	0.1807800836
212	0.1805333269
213	0.1802396711
214	0.1795192703
215	0.1789893714
216	0.1787192461
217	0.1782824179
218	0.1777383204
219	0.1774141992
220	0.1767816298
221	0.1765591533
222	0.176185603
223	0.1758718891
224	0.1755835342
225	0.1753088261
226	0.1748041287
227	0.174445578
228	0.1740550294
229	0.1737949072
230	0.1734928946
231	0.172979587
232	0.1726608518
233	0.1724587788
234	0.1721346718
235	0.171604182
236	0.1710494344
237	0.1705988936
238	0.1700732234
239	0.1698116738
240	0.1694298594
241	0.1688752734
242	0.1686278499
243	0.1682595695
244	0.1677870597
245	0.1673084945
246	0.1669584862
247	0.1665435068
248	0.166002732
249	0.1656506253
250	0.1652507095
251	0.164883378
252	0.1644193988
253	0.1640383132
254	0.1635743397
255	0.1632634694
256	0.1628400195
257	0.1622427104
258	0.1617806053
259	0.1615658684
260	0.1610442766
261	0.1606447961
262	0.160355882
263	0.1601740161
264	0.1599308155
265	0.159671086
266	0.1595648733
267	0.1590310788
268	0.1587147131
269	0.1585054531
270	0.1579211503
271	0.1576503192
272	0.1572740317
273	0.1569602151
274	0.1567226602
275	0.1564635782
276	0.1560540729
277	0.1557644449
278	0.1554058102
279	0.1551155274
280	0.1549141062
281	0.1543794407
282	0.153970204
283	0.1537195172
284	0.1532879676
285	0.1528685166
286	0.1525775531
287	0.1522958353
288	0.1520510119
289	0.1516831066
290	0.1514632776
291	0.1512252184
292	0.1509416114
293	0.1507365992
294	0.1505699106
295	0.1502357155
296	0.1499848351
297	0.1498703846
298	0.1494266905
299	0.1489361407
300	0.1486651096
301	0.1484778172
302	0.1482170807
303	0.1479464744
304	0.1476565381
305	0.1471794458
306	0.1469659326
307	0.146699586
308	0.1463358673
309	0.1460557164
310	0.1459197892
311	0.1455311434
312	0.1452687396
313	0.1449048164
314	0.1445978013
315	0.1443465844
316	0.1439671679
317	0.1437941947
318	0.1435255716
319	0.1433358521
320	0.1430888335
321	0.1429662126
322	0.1427736823
323	0.1423661855
324	0.1420478775
325	0.1419026119
326	0.1417928824
327	0.1414985025
328	0.1413989349
329	0.1411325909
330	0.1409733327
331	0.1407758401
332	0.1403694877
333	0.1401063913
334	0.1398036321
335	0.1395429558
336	0.1392769391
337	0.138993291
338	0.1387877796
339	0.1384632487
340	0.1383371755
341	0.1381819812
342	0.1380252211
343	0.137871607
344	0.1374804585
345	0.1372573628
346	0.1370658664
347	0.1367360067
348	0.1364862529
349	0.1362373303
350	0.1358079297
351	0.1356485065
352	0.1355072393
353	0.1352373495
354	0.1351089643
355	0.1348341572
356	0.1346043749
357	0.1343809839
358	0.1341835386
